"statistikkvariabel"	"region"	"2019 0-9 år"	"2019 10-19 år"	"2019 20-29 år"	"2019 30-39 år"	"2019 40-49 år"	"2019 50-59 år"	"2019 60-69 år"	"2019 70-79 år"	"2019 80-89 år"	"2019 90-99 år"	"2019 100 år eller eldre"
"Personer"	"K-0430 Stor-Elvdal"	203	219	258	237	284	388	372	313	161	24	0
"Personer"	"K-0432 Rendalen"	138	189	143	144	203	280	305	255	104	30	0
"Personer"	"K-0434 Engerdal"	90	160	130	86	157	205	182	190	71	15	0
"Personer"	"K-0436 Tolga"	169	190	192	154	165	217	238	135	70	20	1
"Personer"	"K-0437 Tynset"	587	755	654	616	680	714	799	487	239	58	2
"Personer"	"K-0438 Alvdal"	300	312	279	250	292	343	300	207	96	39	0
"Personer"	"K-0439 Folldal"	139	170	154	131	196	233	227	209	88	29	1
"Personer"	"K-0441 Os"	148	223	239	168	257	285	266	198	104	24	0
"Personer"	"K-0501 Lillehammer"	2807	3298	4084	3182	3540	3719	3338	2572	1204	271	8
"Personer"	"K-0502 Gjøvik"	3096	3604	4451	3556	4073	4006	3647	2799	1155	283	6
"Personer"	"K-0511 Dovre"	224	293	304	237	297	373	395	310	149	32	1
"Personer"	"K-0512 Lesja"	202	271	205	179	240	274	311	194	104	28	1
"Personer"	"K-0513 Skjåk"	186	257	221	215	290	299	316	278	121	21	0
"Personer"	"K-0514 Lom"	218	270	239	243	278	338	338	226	122	20	1
"Personer"	"K-0515 Vågå"	348	430	394	355	464	488	490	403	172	44	1
"Personer"	"K-0516 Nord-Fron"	542	693	630	531	719	861	755	673	287	50	1
"Personer"	"K-0517 Sel"	531	675	657	539	763	814	828	612	304	66	0
"Personer"	"K-0519 Sør-Fron"	327	382	332	312	440	437	398	316	140	41	2
"Personer"	"K-0520 Ringebu"	403	504	460	486	570	639	560	522	220	61	0
"Personer"	"K-0521 Øyer"	514	572	670	575	665	725	647	468	226	56	1
"Personer"	"K-0522 Gausdal"	590	678	683	642	831	922	741	650	305	70	0
"Personer"	"K-0528 Østre Toten"	1520	1687	1628	1630	2076	2180	1916	1487	677	144	3
"Personer"	"K-0529 Vestre Toten"	1321	1589	1622	1442	1914	1863	1616	1323	587	106	1
"Personer"	"K-0532 Jevnaker"	734	821	810	803	931	988	817	624	271	46	1
"Personer"	"K-0533 Lunner"	1010	1136	903	1106	1338	1298	1155	770	267	67	1
"Personer"	"K-0534 Gran"	1324	1711	1461	1442	1881	2023	1732	1348	585	135	0
"Personer"	"K-0536 Søndre Land"	528	634	597	576	734	891	807	558	246	51	1
"Personer"	"K-0538 Nordre Land"	647	758	764	647	892	985	915	692	318	53	0
"Personer"	"K-0540 Sør-Aurdal"	281	343	280	277	367	455	410	359	162	45	2
"Personer"	"K-0541 Etnedal"	121	160	125	117	163	197	175	145	82	20	0
"Personer"	"K-0542 Nord-Aurdal"	597	736	728	679	864	882	923	648	298	60	3
"Personer"	"K-0543 Vestre Slidre"	189	268	217	203	280	338	296	221	101	22	0
"Personer"	"K-0544 Øystre Slidre"	320	354	378	375	405	461	419	349	114	33	0
"Personer"	"K-0545 Vang"	161	188	171	209	207	201	206	179	64	23	1
"Personer"	"K-0602 Drammen"	7782	8188	8843	9696	9836	8709	7038	5746	2479	601	15
"Personer"	"K-0604 Kongsberg"	3022	3294	3335	3481	3902	3659	3168	2377	999	237	7
"Personer"	"K-0605 Ringerike"	3060	3367	3760	3624	4166	4209	3938	2770	1242	296	10
"Personer"	"K-0612 Hole"	881	815	560	899	1011	1020	836	534	233	55	1
"Personer"	"K-0615 Flå"	98	116	120	110	124	150	151	104	64	14	1
"Personer"	"K-0616 Nes (Buskerud)"	260	376	365	304	447	482	501	359	173	47	1
"Personer"	"K-0617 Gol"	444	553	491	516	640	647	552	455	213	64	1
